time,site_id,ghi_wm2,ghi_b_wm2,poa_wm2,poa2_wm2,ref_cell1_wm2,ref_cell2_wm2,temp_amb_c,temp_amb1_c,temp_amb2_c,temp_mod_avg_c,temp_mod1_c,temp_mod2_c,temp_mod3_c,temp_mod4_c,temp_mod5_c,temp_mod6_c,ref_cell1_temp_c,ref_cell2_temp_c,wind_speed_ms,wind_speed_max_ms,wind_dir_deg,precip_mm,precip_dif_mm,ws_com_status,ws_com_quality,ws_num_fails,source,quality,dhi_wm2,dni_wm2
2024-01-03 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7,,,,,,9,,,,,,,,,,,,3.6,,,,,,,,solcast_historic,0,7,0
2024-01-03 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,3.7,,,,,,,,solcast_historic,0,0,0
2024-01-03 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,3.9,,,,,,,,solcast_historic,0,0,0
2024-01-03 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,4.2,,,,,,,,solcast_historic,0,0,0
2024-01-03 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,4.3,,,,,,,,solcast_historic,0,0,0
2024-01-03 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,4.3,,,,,,,,solcast_historic,0,0,0
2024-01-03 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,4.3,,,,,,,,solcast_historic,0,0,0
2024-01-03 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,4.3,,,,,,,,solcast_historic,0,0,0
2024-01-04 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,4.4,,,,,,,,solcast_historic,0,0,0
2024-01-04 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,4.4,,,,,,,,solcast_historic,0,0,0
2024-01-04 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,0,0
2024-01-04 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.7,,,,,,,,solcast_historic,0,0,0
2024-01-04 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.6,,,,,,,,solcast_historic,0,0,0
2024-01-04 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.4,,,,,,,,solcast_historic,0,0,0
2024-01-04 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,0,0
2024-01-04 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.7,,,,,,,,solcast_historic,0,0,0
2024-01-04 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.6,,,,,,,,solcast_historic,0,0,0
2024-01-04 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,20,,,,,,7,,,,,,,,,,,,4.2,,,,,,,,solcast_historic,0,13,78
