time,site_id,p_ac_kw,p_dc_kw,p_dc_stc_kw,poa_total_wm2,t_cell_c,tier_used,fit_quality,source,quality
2024-11-25 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,13,3,low,physics_sdm,0
2024-11-25 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,12,3,low,physics_sdm,0
2024-11-25 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.1473174822432668e-43,1.1858963507893351e-43,28399.68,0,11,3,low,physics_sdm,0
2024-11-25 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,10,3,low,physics_sdm,0
2024-11-25 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,10,3,low,physics_sdm,0
2024-11-25 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,10,3,low,physics_sdm,0
2024-11-25 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,10,3,low,physics_sdm,0
2024-11-25 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,10,3,low,physics_sdm,0
2024-11-25 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,10,3,low,physics_sdm,0
2024-11-25 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,420.47158959298855,434.6100634097981,28399.68,16.54894405539816,10.570653243289591,3,low,physics_sdm,0
2024-11-25 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1367.0542362160486,1413.0218140578916,28399.68,51.71545017311924,11.783291385279973,3,low,physics_sdm,0
2024-11-25 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4561.797780423374,4715.1894959933325,28399.68,168.80201569185897,16.82075916178824,3,low,physics_sdm,0
2024-11-25 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4231.406236948813,4373.688445236169,28399.68,156.69363240052914,16.40322870346652,3,low,physics_sdm,0
2024-11-25 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4840.330652422277,5003.088113063594,28399.68,179.02355316094247,17.173225971066984,3,low,physics_sdm,0
2024-11-25 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5362.56172559889,5542.879350915255,28399.68,198.2270387596273,17.83541512964232,3,low,physics_sdm,0
2024-11-25 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2689.354892280082,2779.785196418863,28399.68,100.00358247697683,13.448399395757821,3,low,physics_sdm,0
2024-11-25 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,410.5956064989753,424.4019976451694,28399.68,16.174410528843463,10.557738294098051,3,low,physics_sdm,0
2024-11-25 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,9,3,low,physics_sdm,0
2024-11-25 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,8,3,low,physics_sdm,0
2024-11-25 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,8,3,low,physics_sdm,0
2024-11-25 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,7,3,low,physics_sdm,0
2024-11-25 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,7,3,low,physics_sdm,0
2024-11-25 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,7,3,low,physics_sdm,0
2024-11-25 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.5964868299852556e-43,3.71741969712015e-43,28399.68,0,6,3,low,physics_sdm,0
2024-11-26 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.5964868299852556e-43,3.71741969712015e-43,28399.68,0,6,3,low,physics_sdm,0
2024-11-26 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.5964868299852556e-43,3.71741969712015e-43,28399.68,0,6,3,low,physics_sdm,0
2024-11-26 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.5964868299852556e-43,3.71741969712015e-43,28399.68,0,6,3,low,physics_sdm,0
2024-11-26 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.5964868299852556e-43,3.71741969712015e-43,28399.68,0,6,3,low,physics_sdm,0
2024-11-26 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-26 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-26 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-26 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-26 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,49.453030755483226,51.11590263031093,28399.68,2.06861800692477,4.071331655411199,3,low,physics_sdm,0
